Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
320,UCLA,32,15,17,0.469,10.48,9.69,NA,6,12,NA,11,6,NA,3,7,NA,2480,2455,NA,1295,915,2016,0.454,200,551,0.363,450,651,0.691,393,1266,502,175,110,392,595,2015-2016
321,Utah State,31,16,15,0.516,2.68,2.06,NA,7,11,NA,10,6,NA,5,8,NA,2274,2217,NA,1240,802,1779,0.451,257,695,0.37,413,597,0.692,319,1108,454,171,81,373,546,2015-2016
322,Utah Valley,30,12,18,0.4,-9.58,-3.58,NA,6,8,NA,7,7,NA,5,9,NA,2280,2360,NA,1210,785,1833,0.428,256,729,0.351,454,628,0.723,277,1100,435,176,95,399,627,2015-2016
323,Utah NCAA,36,27,9,0.75,15.5,8.79,NA,13,5,NA,16,1,NA,5,5,NA,2778,2502,NA,1460,977,2000,0.489,273,746,0.366,551,764,0.721,347,1335,557,199,149,451,549,2015-2016
324,Valparaiso,37,30,7,0.811,10.71,0.02,NA,16,2,NA,17,1,NA,12,4,NA,2782,2323,NA,1490,964,2178,0.443,298,829,0.359,556,769,0.723,468,1533,526,246,175,479,731,2015-2016
325,Vanderbilt NCAA,33,19,14,0.576,17.2,8.68,NA,11,7,NA,14,2,NA,3,9,NA,2506,2225,NA,1330,857,1879,0.456,273,714,0.382,519,747,0.695,313,1273,487,139,182,386,632,2015-2016
326,Vermont,37,23,14,0.622,-1.51,-4.73,NA,11,5,NA,13,3,NA,9,10,NA,2774,2611,NA,1480,986,2051,0.481,255,666,0.383,547,772,0.709,343,1321,495,212,161,490,719,2015-2016
327,Villanova NCAA,40,35,5,0.875,24.08,9.71,NA,16,2,NA,15,1,NA,10,2,NA,3118,2543,NA,1605,1086,2247,0.483,347,959,0.362,599,766,0.782,351,1385,637,282,136,440,681,2015-2016
328,Virginia Commonwealth NCAA,36,25,11,0.694,13.83,4.35,NA,14,4,NA,15,2,NA,7,4,NA,2781,2440,NA,1450,1010,2238,0.451,262,745,0.352,499,721,0.692,447,1347,515,309,135,405,706,2015-2016
329,VMI,30,9,21,0.3,-12.96,-3.15,NA,4,14,NA,8,6,NA,1,14,NA,2081,2264,NA,1205,729,1770,0.412,263,783,0.336,360,498,0.723,290,996,330,184,126,397,586,2015-2016
330,Virginia Tech,35,20,15,0.571,9.93,7.53,NA,10,8,NA,14,5,NA,4,7,NA,2624,2540,NA,1425,876,1953,0.449,200,575,0.348,672,964,0.697,371,1230,426,188,125,447,673,2015-2016
331,Virginia NCAA,37,29,8,0.784,22.04,11.12,NA,13,5,NA,15,0,NA,5,6,NA,2626,2222,NA,1485,964,1964,0.491,224,557,0.402,474,630,0.752,323,1189,551,199,119,345,596,2015-2016
332,Wagner,34,23,11,0.676,-4.79,-9.52,NA,13,5,NA,13,4,NA,10,7,NA,2389,2209,NA,1365,856,2019,0.424,203,617,0.329,474,665,0.713,474,1348,451,237,136,454,743,2015-2016
333,Wake Forest,31,11,20,0.355,5.53,10.53,NA,2,16,NA,6,9,NA,3,9,NA,2295,2450,NA,1250,793,1804,0.44,195,618,0.316,514,779,0.66,377,1186,434,184,138,451,649,2015-2016
334,Washington State,31,9,22,0.29,0.5,7.97,NA,1,17,NA,8,9,NA,0,10,NA,2187,2394,NA,1260,805,1760,0.457,184,530,0.347,393,551,0.713,247,1048,419,155,134,440,615,2015-2016
335,Washington,34,19,15,0.559,11.21,8.12,NA,9,9,NA,13,5,NA,3,7,NA,2853,2748,NA,1385,964,2264,0.426,249,752,0.331,676,932,0.725,473,1360,488,258,222,470,813,2015-2016
336,Weber State NCAA,35,26,9,0.743,0.18,-5.13,NA,15,3,NA,13,1,NA,6,7,NA,2662,2344,NA,1420,908,1885,0.482,291,785,0.371,555,821,0.676,300,1296,477,175,119,462,611,2015-2016
337,West Virginia NCAA,35,26,9,0.743,21.61,9.78,NA,13,5,NA,13,2,NA,7,4,NA,2749,2335,NA,1410,943,2102,0.449,209,643,0.325,654,972,0.673,558,1380,510,343,93,498,819,2015-2016
338,Western Carolina,34,16,18,0.471,-4.98,-1.53,NA,10,8,NA,12,2,NA,3,15,NA,2479,2490,NA,1385,851,1993,0.427,242,730,0.332,535,760,0.704,404,1241,427,275,110,485,705,2015-2016
339,Western Illinois,27,10,17,0.37,-6.2,-1.32,NA,3,13,NA,7,6,NA,3,11,NA,1904,1914,NA,1080,676,1521,0.444,190,490,0.388,362,502,0.721,233,948,361,163,89,332,555,2015-2016
340,Western Kentucky,34,18,16,0.529,-1.29,-0.89,NA,8,10,NA,12,4,NA,3,9,NA,2620,2586,NA,1385,925,1970,0.47,233,643,0.362,537,768,0.699,405,1311,463,151,139,450,610,2015-2016
341,Western Michigan,32,13,19,0.406,-2.07,0.06,NA,7,11,NA,10,5,NA,2,12,NA,2342,2352,NA,1310,786,1824,0.431,197,569,0.346,573,805,0.712,359,1190,382,183,80,401,633,2015-2016
342,Wichita State NCAA,35,26,9,0.743,17.39,4.24,NA,16,2,NA,14,1,NA,9,3,NA,2535,2066,NA,1410,867,2023,0.429,250,771,0.324,551,768,0.717,408,1305,489,255,125,346,705,2015-2016
343,William & Mary,31,20,11,0.645,5.57,1.3,NA,11,7,NA,12,3,NA,7,7,NA,2384,2205,NA,1250,843,1755,0.48,241,652,0.37,457,636,0.719,258,1141,501,170,132,331,512,2015-2016
344,Winthrop,32,23,9,0.719,-1.42,-5.7,NA,13,5,NA,14,1,NA,7,7,NA,2631,2429,NA,1280,890,1869,0.476,285,768,0.371,566,756,0.749,291,1160,378,174,175,403,602,2015-2016
345,Wisconsin NCAA,35,22,13,0.629,13.4,9.4,NA,12,6,NA,13,5,NA,6,5,NA,2373,2233,NA,1410,816,1917,0.426,229,656,0.349,512,728,0.703,398,1228,400,205,114,386,588,2015-2016
346,Wofford,32,15,17,0.469,-3.75,-2.35,NA,11,7,NA,11,2,NA,4,14,NA,2296,2295,NA,1295,771,1725,0.447,270,662,0.408,484,645,0.75,274,1013,470,163,56,379,608,2015-2016
347,Wright State,35,22,13,0.629,0.18,-1.76,NA,13,5,NA,13,2,NA,5,9,NA,2399,2303,NA,1405,856,1916,0.447,256,687,0.373,431,621,0.694,232,1094,478,193,75,397,770,2015-2016
348,Wyoming,32,14,18,0.438,0.09,2.19,NA,7,11,NA,10,6,NA,4,8,NA,2193,2302,NA,1295,689,1570,0.439,307,829,0.37,508,710,0.715,175,989,372,126,82,346,581,2015-2016
349,Xavier NCAA,34,28,6,0.824,18.58,8.43,NA,14,4,NA,15,1,NA,8,3,NA,2737,2392,NA,1360,928,2054,0.452,255,702,0.363,626,857,0.73,436,1387,548,246,101,429,678,2015-2016
350,Yale NCAA,30,23,7,0.767,9.08,-1.03,NA,13,1,NA,12,0,NA,9,6,NA,2248,1914,NA,1205,795,1693,0.47,190,523,0.363,468,699,0.67,407,1208,452,170,137,398,530,2015-2016
351,Youngstown State,32,11,21,0.344,-10.86,-0.86,NA,6,12,NA,6,8,NA,3,11,NA,2437,2682,NA,1305,870,2021,0.43,257,704,0.365,440,619,0.711,283,1081,467,219,80,387,571,2015-2016
